Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Heading,Distance,Camera Height,Camera Angle,"D01
(1%)","D05
(5%)","D10
(10%)","D20
(20%)","D25
(25%)","D50
(50%)","D75
(75%","D80
(80%)","D90
(90%)","D95
(95%)","D99
(99%)",0.1 mm,0.147 mm,0.215 mm,0.316 mm,0.464 mm,0.681 mm,1 mm,1.47 mm,2.15 mm,3.16 mm,4.64 mm,6.81 mm,10 mm,14.7 mm,21.5 mm,31.6 mm,46.4 mm,68.1 mm,100 mm,147 mm,215 mm,316 mm,464 mm,681 mm,1000 mm,All In Spec,0.1 mm Sph,0.147 mm Sph,0.215 mm Sph,0.316 mm Sph,0.464 mm Sph,0.681 mm Sph,1 mm Sph,1.47 mm Sph,2.15 mm Sph,3.16 mm Sph,4.64 mm Sph,6.81 mm Sph,10 mm Sph,14.7 mm Sph,21.5 mm Sph,31.6 mm Sph,46.4 mm Sph,68.1 mm Sph,100 mm Sph,147 mm Sph,215 mm Sph,316 mm Sph,464 mm Sph,681 mm Sph,1000 mm Sph,Sphericity,CID 1,CID 2,Scale Factor,Scale Slope,Scale Intercept,Particles,Coverage,Edit Time,Profile Name,Threshold,Valley Threshold,Blur,Search Dark,Search Radius,Window Size,n,Xc,b,Xmax,X50,n Adj,Xc Adj,b Adj,Xmax Adj,X50 Adj,Height,Burden,Spacing,Diameter,Rock Factor,Accuracy,Strength,Density,Num Data Points,Blast  Name,
,,,,,,,,,,,,,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7,19,13,46,23,-,-,-,-,-,-,-,34.10,89.30,139.00,182.00,202.00,311.00,525.00,556.00,619.00,650.00,675.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.13%,0.21%,0.41%,0.85%,1.74%,2.97%,6.02%,10.80%,28.50%,51.10%,65.20%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0,0.66,0.8,0.87,0.58,0.57,0.54,0.53,0.5,0.7,0.6,0.77,0.69,0.64,0.75,0,0,0.67,0,0,356.00,-,-,295,0.29,297,Profile 1,-60,-3,2,15,15,20,1.7325,443.00,2.26,643.00,311.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,211,
2021,7,19,13,41,38,-,-,-,-,-,-,-,28.90,67.70,102.00,172.00,199.00,426.00,756.00,805.00,902.00,951.00,990.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.05%,0.08%,0.16%,0.45%,1.20%,2.78%,5.04%,9.79%,15.40%,27.90%,41.50%,52.90%,67.30%,100.00%,1,0,0,0,0,0,0,0,0,0,0.68,0.86,0.8,0.59,0.63,0.52,0.53,0.65,0.6,0.73,0.73,0.65,0.76,0.9,0.66,0,0.65,0,0,408.00,-,-,272,0.33,217,Profile 1,-60,-3,2,15,15,20,1.4023,619.00,1.47,712.00,426.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,212,
2021,7,19,13,47,49,-,-,-,-,-,-,-,56.80,160.00,222.00,307.00,335.00,454.00,846.00,1000.00,1040.00,1050.00,1070.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.08%,0.19%,0.36%,0.60%,1.44%,2.68%,3.98%,9.14%,21.00%,52.00%,70.00%,79.70%,1,0,0,0,0,0,0,0,0,0,0,0.66,0,0.89,0.64,0.62,0.5,0.52,0.47,0.61,0.63,0.7,0.7,0.76,0.67,0.63,0.66,0,0,215.00,-,-,320,0.33,280,Profile 1,-60,-3,2,15,15,20,1.9723,599.00,2.9,1070.00,454.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,214,
2021,7,19,13,36,6,-,-,-,-,-,-,-,76.70,171.00,269.00,453.00,505.00,745.00,1030.00,1130.00,1340.00,1440.00,1520.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.10%,0.19%,0.33%,0.66%,1.92%,3.80%,7.25%,12.40%,20.60%,44.10%,73.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.86,0.66,0.6,0.52,0.55,0.58,0.59,0.59,0.61,0.59,0.58,0.65,0.64,0,0,129.00,-,-,452,0.33,243,Profile 1,-60,-3,2,15,15,20,1.9282,887.00,2.5,1540.00,745.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,215,
2021,7,19,19,17,27,-,-,-,-,-,-,-,39.00,89.10,154.00,284.00,326.00,456.00,637.00,674.00,832.00,916.00,983.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.04%,0.05%,0.09%,0.20%,0.52%,1.48%,3.20%,5.93%,9.57%,13.50%,23.00%,51.60%,81.00%,100.00%,1,0,0,0,0,0,0,0,0,0.62,0.67,0.76,0.81,0.65,0.58,0.54,0.57,0.58,0.53,0.51,0.58,0.57,0.66,0.61,0.64,0,0.62,0,0,241.00,0.32,167.00,619,0.56,326,Profile 1,-60,-3,2,15,15,20,1.8753,550.00,2.55,969.00,456.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,216,
2021,7,19,13,37,36,-,-,-,-,-,-,-,28.00,67.00,104.00,157.00,180.00,299.00,508.00,542.00,612.00,646.00,674.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.07%,0.15%,0.26%,0.53%,1.26%,2.69%,5.12%,9.34%,17.90%,32.50%,53.70%,68.70%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0,0.68,0.86,0.63,0.55,0.61,0.55,0.6,0.61,0.6,0.71,0.62,0.66,0.65,0.7,0,0,0.66,0,0,432.00,-,-,369,0.4,237,Profile 1,-60,-3,2,15,15,20,1.6422,410.00,2.2,656.00,299.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,218,
2021,7,19,19,57,12,-,-,-,-,-,-,-,33.50,70.50,113.00,204.00,244.00,395.00,620.00,1010.00,1240.00,1350.00,1450.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.10%,0.17%,0.36%,0.84%,2.10%,4.72%,8.52%,13.90%,21.20%,34.70%,63.40%,79.60%,79.60%,1,0,0,0,0,0,0,0,0,0,0,0.7,0.87,0.69,0.58,0.61,0.57,0.65,0.59,0.58,0.53,0.69,0.61,0.73,0,0.64,0.66,0,0,277.00,-,-,729,0.52,260,Profile 1,-60,-3,2,15,15,20,1.8412,463.00,3.18,1470.00,395.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,219,
2021,7,19,20,10,24,-,-,-,-,-,-,-,49.60,104.00,177.00,344.00,397.00,574.00,749.00,800.00,900.00,950.00,990.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.10%,0.19%,0.43%,0.81%,2.07%,4.75%,8.05%,12.50%,17.30%,31.30%,68.20%,100.00%,1,0,0,0,0,0,0,0,0,0,0,0.63,0,0.82,0.66,0.56,0.54,0.54,0.55,0.59,0.57,0.53,0.55,0.52,0.59,0,0.62,0,0,211.00,-,-,672,0.55,303,Profile 1,-60,-3,2,15,15,20,1.9249,652.00,2,950.00,574.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,220,
2021,7,19,19,35,49,-,-,-,-,-,-,-,31.80,60.10,91.30,159.00,189.00,363.00,513.00,559.00,652.00,766.00,953.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.09%,0.17%,0.40%,0.97%,2.73%,6.33%,11.40%,17.90%,29.30%,40.80%,69.60%,93.20%,100.00%,1,0,0,0,0,0,0,0,0,0,0,0.66,0.87,0.69,0.58,0.59,0.58,0.6,0.63,0.6,0.58,0.58,0.68,0.58,0.56,0,0.64,0,0,261.00,-,-,582,0.32,276,Profile 1,-60,-3,2,15,15,20,1.7826,431.00,1.97,709.00,363.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,222,
2021,7,19,19,49,14,-,-,-,-,-,-,-,38.60,110.00,160.00,212.00,237.00,361.00,499.00,551.00,653.00,781.00,956.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.18%,0.30%,0.62%,1.43%,2.61%,4.33%,7.44%,20.60%,40.60%,71.60%,92.70%,100.00%,1,0,0,0,0,0,0,0,0,0,0,0.66,0,0.83,0.69,0.63,0.52,0.58,0.57,0.66,0.64,0.65,0.59,0.75,0.21,0,0.67,0,0,217.00,-,-,365,0.21,258,Profile 1,-60,-3,2,15,15,20,2.1051,424.00,2.56,718.00,361.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,223,
